"K","x","y","P","r","g","b"
22900,0.2529,0.2579,8.287e+16,0.3742,0.5414,1
23000,0.2528,0.2578,8.349e+16,0.3737,0.541,1
23100,0.2527,0.2577,8.41e+16,0.3732,0.5405,1
23200,0.2526,0.2576,8.472e+16,0.3726,0.5401,1
23300,0.2526,0.2575,8.533e+16,0.3721,0.5397,1
23400,0.2525,0.2574,8.595e+16,0.3716,0.5393,1
23500,0.2524,0.2573,8.657e+16,0.3711,0.5389,1
23600,0.2524,0.2572,8.718e+16,0.3706,0.5384,1
23700,0.2523,0.2572,8.78e+16,0.3701,0.538,1
23800,0.2522,0.2571,8.842e+16,0.3696,0.5376,1
23900,0.2521,0.257,8.904e+16,0.3692,0.5372,1
24000,0.2521,0.2569,8.966e+16,0.3687,0.5368,1
24100,0.252,0.2568,9.028e+16,0.3682,0.5365,1
24200,0.2519,0.2567,9.09e+16,0.3677,0.5361,1
24300,0.2519,0.2566,9.152e+16,0.3673,0.5357,1
24400,0.2518,0.2565,9.215e+16,0.3668,0.5353,1
24500,0.2517,0.2565,9.277e+16,0.3664,0.5349,1
24600,0.2517,0.2564,9.339e+16,0.3659,0.5346,1
24700,0.2516,0.2563,9.401e+16,0.3655,0.5342,1
24800,0.2516,0.2562,9.464e+16,0.365,0.5338,1
24900,0.2515,0.2561,9.526e+16,0.3646,0.5335,1
25000,0.2514,0.256,9.589e+16,0.3642,0.5331,1
25100,0.2514,0.256,9.651e+16,0.3637,0.5328,1
25200,0.2513,0.2559,9.714e+16,0.3633,0.5324,1
25300,0.2512,0.2558,9.777e+16,0.3629,0.5321,1
25400,0.2512,0.2557,9.839e+16,0.3625,0.5317,1
25500,0.2511,0.2557,9.902e+16,0.3621,0.5314,1
25600,0.2511,0.2556,9.965e+16,0.3617,0.531,1
25700,0.251,0.2555,1.003e+17,0.3613,0.5307,1
25800,0.251,0.2554,1.009e+17,0.3609,0.5304,1
25900,0.2509,0.2554,1.015e+17,0.3605,0.53,1
26000,0.2508,0.2553,1.022e+17,0.3601,0.5297,1
26100,0.2508,0.2552,1.028e+17,0.3597,0.5294,1
26200,0.2507,0.2551,1.034e+17,0.3593,0.5291,1
